Title,Author,Year,Rating,Raters
"American Vampire, Vol. 1 (Hardcover)",Scott Snyder,Missing,3.98,24295
The Castle of Otranto (Paperback),Horace Walpole,Missing,3.18,29445
From Hell (Paperback),Alan Moore,Missing,4.18,37943
"The Doll's House (The Sandman, #2)",Neil Gaiman,Missing,4.44,96041
Mister B. Gone (Hardcover),Clive Barker,Missing,3.34,13685
Acceptance (Paperback),Jeff VanderMeer,Missing,3.62,56151
"Merrick (The Vampire Chronicles, #7)",Anne Rice,Missing,3.75,40944
A Stir of Echoes (Paperback),Richard Matheson,Missing,3.87,13418
Lakewood (Hardcover),Megan Giddings,Missing,3.52,9360
Mapping the Interior (ebook),Stephen Graham Jones,Missing,3.81,4902
Trigger Warning: Short Fictions and Disturbances (Hardcover),Neil Gaiman,Missing,3.92,57355
"Something is Killing the Children, Vol. 1 (Paperback)",James Tynion IV,Missing,4.14,11647
The Croning (Hardcover),Laird Barron,Missing,3.74,4458
Drawing Blood (Paperback),Poppy Z. Brite,Missing,4.02,10096
In the Miso Soup (Paperback),Ryū Murakami,Missing,3.62,24031
"Brother Odd (Odd Thomas, #3)",Dean Koontz,Missing,4.00,64063
Shadowland (Mass Market Paperback),Peter Straub,Missing,3.90,11878
When the Reckoning Comes (Paperback),LaTanya McQueen,Missing,3.72,4030
"The Screaming Staircase (Lockwood & Co., #1)",Jonathan Stroud,Missing,4.22,39779
In the House in the Dark of the Woods (Hardcover),Laird Hunt,Missing,3.32,5851
Hideaway (Mass Market Paperback),Dean Koontz,Missing,3.86,34652
